Dialogue	Step	BranchLevel	Comment	Print	CondJmp	Media	Actions	Var
p1sb	350	2		The foot clinic team will discuss your progress with you in more detail the next time you see them. Keep wearing your boot, you're doing great!	END;0			
p1sb	360	2	If I think it's getting worse, then	Actually, your data suggests that your foot ulcer has been improving. If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's decreased by {{degrees}} degrees this week.			HighlightData	
p1sb	370	2		This is what we want to see, it suggests that your ulcer is improving. If you continue to wear your boot for most of your steps then we can expect your ulcer to keep getting better. But if there's something you're worried about, if your ulcer feels different to normal or you think it's deteriorating you should contact the foot clinic.				
p1sb	380	2		The foot clinic team will discuss your progress with you in more detail the next time you see them. Keep wearing your boot, you're doing great!	END;0			
p2sa	1		This dialogue assumes persona 2 at the end of week 12. Triggered by the researcher (to simulate the system being triggered by what it has seen in the data) the system will initiate the following dialogue.	Hi, did you know that in the past 4 weeks you’ve only worn your boot for {{stepsPerc}}% of all the steps you’ve taken?	I can’t talk now;20|That can’t be right, I always put it on when I leave the house;30|I haven’t been wearing it so much because it’s been giving me really bad back ache.;80			
p2sa	20		If I can’t talk now, then	Ok, you know where I am if you need me.	END;0			
p2sa	30		If That can’t be right, I always put it on when I leave the house, then	I can see that you always wear you’re boot when you go out, but actually over the past 4 weeks {{stepsPerc}}% of all the steps you’ve taken have been at home.			HighlightData	
p2sa	40			Because you’re not wearing your boot very much while you’re at home, in total you’ve only been wearing your boot for {{stepsPerc}}% of the steps you’ve taken over the past 4 weeks.			HighlightData	
p2sa	50			If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that your foot ulcer has been deteriorating.			HighlightData	
p2sa	60			You need to wear your boot more often, especially while you're at home. Up until 4 weeks ago you were spending much less time at home, and were wearing your boot much more often. During this period your foot ulcer seemed to be improving --- the temperature difference with your healthy foot dropped by {{degrees}} degrees. If you start to wear your boot more often we can expect to see an improvement again.			HighlightData	
p2sa	70			I’ve sent the foot clinic team a message to let them know that you haven’t been wearing your boot very much while you’ve been at home and that you’re foot ulcer seems to be getting worse. They will discuss your progress with you in more detail the next time you see them. Until then, try to wear your boot all the time, even when you're at home.	END;0			
p2sa	80		If I haven’t been wearing it so much because it’s been giving me really bad back ache, then	If you have another boot or shoe that’s a similar height to your boot then you can try wearing that on your healthy foot, this might reduce your back ache.				
p2sa	90			I’ve sent a message to your healthcare team to let them know that you’re suffering from back ache. They will be able to discuss with you different things you can try to reduce your pain.				
p2sa	100			It’s really important that you wear your boot as much as possible. I can see that you always wear you’re boot when you go out, but actually over the past 4 weeks {{stepsPerc}}% of all the steps you’ve taken have been at home.			HighlightData	
p2sa	110			Because you’re not wearing your boot very much while you’re at home, in total you’ve only been wearing your boot for {{stepsPerc}}% of the steps you’ve taken over the past 4 weeks.			HighlightData	
p2sa	120			If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that your foot ulcer has been deteriorating.			HighlightData	
p2sa	130			You need to wear your boot more often, especially while you're at home. Up until 4 weeks ago you were spending much less time at home, and were wearing your boot much more often. During this period your foot ulcer seemed to be improving --- the temperature difference with your healthy foot dropped by {{degrees}} degrees. If you start to wear your boot more often we can expect to see an improvement again.			HighlightData	
p2sa	140			I’ve sent the foot clinic team a message to let them know that you haven’t been wearing your boot very much while you’ve been at home and that you’re foot ulcer seems to be getting worse, as well as telling them about your back ache. They will discuss your progress with you in more detail the next time you see them. Until then, try to wear your boot all the time, even when you're at home.	END;0			
p2sb	1			Hi, how's your week been?	Great!;30|Ok;30|Really awful;40|I don't want to talk to you now;20			
p2sb	20			Ok, you know where I am if you need me.	END;0			
p2sb	30			Glad to hear that!	Continue;50			
p2sb	40			I'm sorry to hear that, I hope next week is better for you.	Continue;50			
p2sb	50			How have you been getting on with wearing your boot this week?	Good, I'm always wearing it;60|I haven't worn it as much as I should have;370|I don't know.;380			
p2sb	60		Don't know	I can see from your data that you always wear your boot when you leave the house, which is good, but it's important to also wear it when you're at home. Do you think you've been wearing it all the time while you're at home?	I don't know;70|No, but I don't do very much walking while I'm at home;220|I think I wear it most of the time when I'm at home;380|I don't wear it that often at home because I don't worry very much about causing further injury to my foot when I'm at home;380			
p2sb	70			If we look at your data over the last 4 weeks we can see that {{stepsPerc}} % of the steps you took were while you were at home, and you were only wearing your boot for {{}}% of these steps.			HighlightData	
p2sb	80			This means that overall you've only been wearing your boot for {{stepsPerc}} % of the steps you've taken. You should be aiming to wear your boot for close to 100% of the steps you take in order to maximise your healing.			HighlightData	
p2sb	90			You can get an indication of how well your foot ulcer is healing by looking at the temperature difference between your ulcer and your healthy foot. How do you think your healing has been going over the past 4 weeks?	I don't know;100|I think it's been ok;140|I'm worried it's getting worse;180			
p2sb	100		Don't know	If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that your foot ulcer has been deteriorating.			HighlightData	
p2sb	110			You need to wear your boot more often, especially while you're at home. Up until 4 weeks ago you were spending much less time at home, and were wearing your boot much more often.			HighlightData	
p2sb	120			During this period your foot ulcer seemed to be improving --- the temperature difference with your healthy foot dropped by {{degrees}} degrees. If you start to wear your boot more often we can expect to see an improvement again.			HighlightData	
p2sb	130			The foot clinic team will discuss your progress with you in more detail the next time you see them. Until then, try to wear your boot all the time, even when you're at home.	END;0			
p2sb	140		If I think it's been ok, then	Well if you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that actually your foot ulcer has been deteriorating.			HighlightData	
p2sb	150			You need to wear your boot more often, especially while you're at home. Up until 4 weeks ago you were spending much less time at home, and were wearing your boot much more often.			HighlightData	
p2sb	160			During this period your foot ulcer seemed to be improving --- the temperature difference with your healthy foot dropped by {{degrees}} degrees. If you start to wear your boot more often we can expect to see an improvement again.			HighlightData	
p2sb	170			The foot clinic team will discuss your progress with you in more detail the next time you see them. Until then, try to wear your boot all the time, even when you're at home.	END;0			
p2sb	180		If I'm worried it's getting worse, then	If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that your foot ulcer has been deteriorating.			HighlightData	
p2sb	190			You need to wear your boot more often, especially while you're at home. Up until 4 weeks ago you were spending much less time at home, and were wearing your boot much more often.			HighlightData	
p2sb	200			During this period your foot ulcer seemed to be improving --- the temperature difference with your healthy foot dropped by {{degrees}} degrees. If you start to wear your boot more often we can expect to see an improvement again.			HighlightData	
p2sb	210			The foot clinic team will discuss your progress with you in more detail the next time you see them. Until then, try to wear your boot all the time, even when you're at home.	END;0			
p2sb	220		If No, but I don't do so much walking while I'm at home, then	Actually, if we look at your data over the last 4 weeks we can see that {{stepsPerc}} % of the steps you took were while you were at home, and you were only wearing your boot for {{stepsPerc2}} % of these steps.			HighlightData	
p2sb	230			This means that overall you've only been wearing your boot for {{stepsPerc}}% of the steps you've taken. You should be aiming to wear your boot for close to 100% of the steps you take in order to maximise your healing.			HighlightData	
p2sb	240			You can get an indication of how well your foot ulcer is healing by looking at the temperature difference between your ulcer and your healthy foot. How do you think your healing has been going over the past 4 weeks?	I don't know;250|I think it's been ok;290|I'm worried it's getting worse;330			
p2sb	250		If I don’t know, then	If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that your foot ulcer has been deteriorating.			HighlightData	
p2sb	260			You need to wear your boot more often, especially while you're at home. Up until 4 weeks ago you were spending much less time at home, and were wearing your boot much more often.			HighlightData	
p2sb	270			During this period your foot ulcer seemed to be improving --- the temperature difference with your healthy foot dropped by {{degrees}} degrees. If you start to wear your boot more often we can expect to see an improvement again.			HighlightData	
p2sb	280			The foot clinic team will discuss your progress with you in more detail the next time you see them. Until then, try to wear your boot all the time, even when you're at home.	END;0			
p2sb	290		If I think it's been ok, then	Well if you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that actually your foot ulcer has been deteriorating.			HighlightData	
p2sb	300			You need to wear your boot more often, especially while you're at home. Up until 4 weeks ago you were spending much less time at home, and were wearing your boot much more often.			HighlightData	
p2sb	310			During this period your foot ulcer seemed to be improving --- the temperature difference with your healthy foot dropped by {{degrees}} degrees. If you start to wear your boot more often we can expect to see an improvement again.			HighlightData	
p2sb	320			The foot clinic team will discuss your progress with you in more detail the next time you see them. Until then, try to wear your boot all the time, even when you're at home.	END;0			
p2sb	330		If I'm worried it's getting worse, then	If you take a look at the temperature difference between your ulcer and your healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that your foot ulcer has been deteriorating.			HighlightData	
p2sb	340			You need to wear your boot more often, especially while you're at home. Up until 4 weeks ago you were spending much less time at home, and were wearing your boot much more often.			HighlightData	
p2sb	350			During this period your foot ulcer seemed to be improving --- the temperature difference with your healthy foot dropped by {{degrees}} degrees. If you start to wear your boot more often we can expect to see an improvement again.			HighlightData	
p2sb	360			The foot clinic team will discuss your progress with you in more detail the next time you see them. Until then, try to wear your boot all the time, even when you're at home.	END;0			
p2sb	370			This part of the dialogue is missing. Goodbye	END;0			
p2sb	380			This part of the dialogue is missing. Goodbye	END;0			
p2sbv2	1	0	This dialogue assumes persona 2 at the end of week 12. The researcher triggers the dialogue to simulate that, as per the patient's preferences, every Sunday at 6pm the system will initiate a dialogue with the patient to review their progress.	Hi! How has Sarah been getting on with wearing her boot this week?	Good, she’s always wearing it;10|She hasn’t worn it as much as she should have;10|I don't know;10			
p2sbv2	10	1	If Good, she’s always wearing it|She hasn’t worn it as much as she should have|I don't know, then	I can see from Sarah’s information that she always wears her boot when she leaves the house. This is good, but it's important that Sarah also wears her boot when she’s at home. Do you think Sarah’s been wearing it all the time while she’s at home?	I don't know;20|No, but I don't think Sarah does very much walking at home;170|I think Sarah wears it most of the time when she’s at home;320|Sarah probably doesn't wear it that much at home because she doesn't worry so much about causing further injury to her foot when she’s at home;470			
p2sbv2	20	2	If I don’t know, then	If we look at Sarah’s information for the last 4 weeks we can see that {{stepsPerc}} % of the steps Sarah took were while she was at home. We can also see that she was only wearing her boot for {{}stepsPerc} % of these steps.			HighlightData	
p2sbv2	30	2		This means that overall Sarah has only been wearing her boot for {{stepsPerc}} % of the steps she has taken. Sarah should aim to wear her boot for close to 100% of the steps she takes for the best chance of healing.			HighlightData	
p2sbv2	40	2		We can get an idea of how well Sarah’s foot ulcer is healing by looking at the temperature difference between Sarah’s ulcer and her healthy foot. How do you think Sarah’s healing has been going over the past 4 weeks?	I don't know;50|I think it's been ok;90|I think it’s been getting worse;130			
p2sbv2	50	3	If I don’t know, then	If you look at the temperature difference between Sarah’s ulcer and her healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that Sarah’s foot ulcer has been getting worse.			HighlightData	
p2sbv2	60	3		Sarah needs to wear her boot more often, especially while she’s at home. Up until 4 weeks ago Sarah was spending much less time at home, and was wearing her boot much more often.			HighlightData	
p2sbv2	70	3		During this period Sarah’s foot ulcer seemed to be improving --- the temperature difference with her healthy foot dropped by {{degrees}} degrees. If Sarah starts to wear her boot more often we can expect to see an improvement again.			HighlightData	
p2sbv2	80	3		The foot clinic team will discuss Sarah’s progress with her in more detail the next time she goes to see them. Until then, she should try to wear her boot all the time, even when she’s at home.	END;0			
p2sbv2	90	3	If I think it's been ok, then	Well if you look at the temperature difference between Sarah’s ulcer and her healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that Sarah’s foot ulcer has been getting worse.			HighlightData	
p2sbv2	100	3		Sarah needs to wear her boot more often, especially while she’s at home. Up until 4 weeks ago Sarah was spending much less time at home, and was wearing her boot much more often.			HighlightData	
p2sbv2	110	3		During this period Sarah’s foot ulcer seemed to be improving --- the temperature difference with her healthy foot dropped by {{degrees}} degrees. If Sarah starts to wear her boot more often we can expect to see an improvement again.			HighlightData	
p2sbv2	120	3		The foot clinic team will discuss Sarah’s progress with her in more detail the next time she goes to see them. Until then, she should try to wear her boot all the time, even when she’s at home.	END;0			
p2sbv2	130	3	If I think it’s been getting worse, then	If you look at the temperature difference between Sarah’s ulcer and her healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that Sarah’s foot ulcer has been getting worse.			HighlightData	
p2sbv2	140	3		Sarah needs to wear her boot more often, especially while she’s at home. Up until 4 weeks ago Sarah was spending much less time at home, and was wearing her boot much more often.			HighlightData	
p2sbv2	150	3		During this period Sarah’s foot ulcer seemed to be improving --- the temperature difference with her healthy foot dropped by {{degrees}} degrees. If Sarah starts to wear her boot more often we can expect to see an improvement again.			HighlightData	
p2sbv2	160	3		The foot clinic team will discuss Sarah’s progress with her in more detail the next time she goes to see them. Until then, she should try to wear her boot all the time, even when she’s at home.	END;0			
p2sbv2	170	2	If No, but I don't think Sarah does very much walking at home, then	Actually, if we look at Sarah’s information for the last 4 weeks we can see that {{stepsPerc}} % of the steps Sarah took were while she was at home. We can also see that she was only wearing her boot for {{stepsPerc}} % of these steps.			HighlightData	
p2sbv2	180	2		This means that overall Sarah has only been wearing her boot for {{stepsPerc}} % of the steps she has taken. Sarah should aim to wear her boot for close to 100% of the steps she takes for the best chance of healing.			HighlightData	
p2sbv2	190	2		We can get an idea of how well Sarah’s foot ulcer is healing by looking at the temperature difference between Sarah’s ulcer and her healthy foot. How do you think Sarah’s healing has been going over the past 4 weeks?	I don't know;200|I think it's been ok;240|I think it’s been getting worse;280			
p2sbv2	200	3	If I don’t know, then	If you look at the temperature difference between Sarah’s ulcer and her healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that Sarah’s foot ulcer has been getting worse.			HighlightData	
p2sbv2	210	3		Sarah needs to wear her boot more often, especially while she’s at home. Up until 4 weeks ago Sarah was spending much less time at home, and was wearing her boot much more often.			HighlightData	
p2sbv2	220	3		During this period Sarah’s foot ulcer seemed to be improving --- the temperature difference with her healthy foot dropped by {{degrees}} degrees. If Sarah starts to wear her boot more often we can expect to see an improvement again.			HighlightData	
p2sbv2	230	3		The foot clinic team will discuss Sarah’s progress with her in more detail the next time she goes to see them. Until then,  she should try to wear her boot all the time, even when she’s at home.	END;0			
p2sbv2	240	3	If I think it's been ok, then	Well if you look at the temperature difference between Sarah’s ulcer and her healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that Sarah’s foot ulcer has been getting worse.			HighlightData	
p2sbv2	250	3		Sarah needs to wear her boot more often, especially while she’s at home. Up until 4 weeks ago Sarah was spending much less time at home, and was wearing her boot much more often.			HighlightData	
p2sbv2	260	3		During this period Sarah’s foot ulcer seemed to be improving --- the temperature difference with her healthy foot dropped by {{degrees}} degrees. If Sarah starts to wear her boot more often we can expect to see an improvement again.			HighlightData	
p2sbv2	270	3		The foot clinic team will discuss Sarah’s progress with her in more detail the next time she goes to see them. Until then, she should try to wear her boot all the time, even when she’s at home.	END;0			
p2sbv2	280	3	If I think it’s been getting worse, then	If you look at the temperature difference between Sarah’s ulcer and her healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that Sarah’s foot ulcer has been getting worse.			HighlightData	
p2sbv2	290	3		Sarah needs to wear her boot more often, especially while she’s at home. Up until 4 weeks ago Sarah was spending much less time at home, and was wearing her boot much more often.			HighlightData	
p2sbv2	300	3		During this period Sarah’s foot ulcer seemed to be improving --- the temperature difference with her healthy foot dropped by {{degrees}} degrees. If Sarah starts to wear her boot more often we can expect to see an improvement again.			HighlightData	
p2sbv2	310	3		The foot clinic team will discuss Sarah’s progress with her in more detail the next time she goes to see them. Until then, she should try to wear her boot all the time, even when she’s at home.	END;0			
p2sbv2	320	2	If I think Sarah wears it most of the time when she’s at home, then	Actually, if we look at Sarah’s information for the last 4 weeks we can see that she was only wearing her boot for {{stepsPerc}} % of the steps she took at home. We can also see that {{stepsPerc}} % of all the steps Sarah took were while she was at home.			HighlightData	
p2sbv2	330	2		This means that overall Sarah has only been wearing her boot for {{stepsPerc}} % of the steps she has taken. Sarah should aim to wear her boot for close to 100% of the steps she takes for the best chance of healing.			HighlightData	
p2sbv2	340	2		We can get an idea of how well Sarah’s foot ulcer is healing by looking at the temperature difference between Sarah’s ulcer and her healthy foot. How do you think Sarah’s healing has been going over the past 4 weeks?	I don't know;350|I think it's been ok;390|I think it’s been getting worse;430			
p2sbv2	350	3	If I don’t know, then	If you look at the temperature difference between Sarah’s ulcer and her healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that Sarah’s foot ulcer has been getting worse.			HighlightData	
p2sbv2	360	3		Sarah needs to wear her boot more often, especially while she’s at home. Up until 4 weeks ago Sarah was spending much less time at home, and was wearing her boot much more often.			HighlightData	
p2sbv2	370	3		During this period Sarah’s foot ulcer seemed to be improving --- the temperature difference with her healthy foot dropped by {{degrees}} degrees. If Sarah starts to wear her boot more often we can expect to see an improvement again.			HighlightData	
p2sbv2	380	3		The foot clinic team will discuss Sarah’s progress with her in more detail the next time she goes to see them. Until then,  she should try to wear her boot all the time, even when she’s at home.	END;0			
p2sbv2	390	3	If I think it's been ok, then	Well if you look at the temperature difference between Sarah’s ulcer and her healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that Sarah’s foot ulcer has been getting worse.			HighlightData	
p2sbv2	400	3		Sarah needs to wear her boot more often, especially while she’s at home. Up until 4 weeks ago Sarah was spending much less time at home, and was wearing her boot much more often.			HighlightData	
p2sbv2	410	3		During this period Sarah’s foot ulcer seemed to be improving --- the temperature difference with her healthy foot dropped by {{degrees}} degrees. If Sarah starts to wear her boot more often we can expect to see an improvement again.			HighlightData	
p2sbv2	420	3		The foot clinic team will discuss Sarah’s progress with her in more detail the next time she goes to see them. Until then, she should try to wear her boot all the time, even when she’s at home.	END;0			
p2sbv2	430	3	If I think it’s been getting worse, then	If you look at the temperature difference between Sarah’s ulcer and her healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that Sarah’s foot ulcer has been getting worse.			HighlightData	
p2sbv2	440	3		Sarah needs to wear her boot more often, especially while she’s at home. Up until 4 weeks ago Sarah was spending much less time at home, and was wearing her boot much more often.			HighlightData	
p2sbv2	450	3		During this period Sarah’s foot ulcer seemed to be improving --- the temperature difference with her healthy foot dropped by {{degrees}} degrees. If Sarah starts to wear her boot more often we can expect to see an improvement again.			HighlightData	
p2sbv2	460	3		The foot clinic team will discuss Sarah’s progress with her in more detail the next time she goes to see them. Until then, she should try to wear her boot all the time, even when she’s at home.	END;0			
p2sbv2	470	2	If Sarah probably doesn't wear it that much at home because she doesn't worry so much about causing further injury to her foot when she’s at home, then	Sarah needs to wear her boot to keep the pressure off her ulcer, even when she’s at home. This is important for the healing process.				
p2sbv2	480	2		If we look at Sarah’s information for the last 4 weeks we can see that {{stepsPerc}} % of the steps Sarah took were while she was at home. We can also see that she was only wearing her boot for {{stepsPerc}} % of these steps.			HighlightData	
p2sbv2	490	2		This means that overall Sarah has only been wearing her boot for {{stepsPerc}} % of the steps she has taken. Sarah should aim to wear her boot for close to 100% of the steps she takes for the best chance of healing.			HighlightData	
p2sbv2	500	2		We can get an idea of how well Sarah’s foot ulcer is healing by looking at the temperature difference between Sarah’s ulcer and her healthy foot. How do you think Sarah’s healing has been going over the past 4 weeks?	I don't know;510|I think it's been ok;550|I think it’s been getting worse;590			
p2sbv2	510	3	If I don’t know, then	If you look at the temperature difference between Sarah’s ulcer and her healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that Sarah’s foot ulcer has been getting worse.			HighlightData	
p2sbv2	520	3		Sarah needs to wear her boot more often, especially while she’s at home. Up until 4 weeks ago Sarah was spending much less time at home, and was wearing her boot much more often.			HighlightData	
p2sbv2	530	3		During this period Sarah’s foot ulcer seemed to be improving --- the temperature difference with her healthy foot dropped by {{degrees}} degrees. If Sarah starts to wear her boot more often we can expect to see an improvement again.			HighlightData	
p2sbv2	540	3		The foot clinic team will discuss Sarah’s progress with her in more detail the next time she goes to see them. Until then,  she should try to wear her boot all the time, even when she’s at home.	END;0			
p2sbv2	550	3	If I think it's been ok, then	Well if you look at the temperature difference between Sarah’s ulcer and her healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that Sarah’s foot ulcer has been getting worse.			HighlightData	
p2sbv2	560	3		Sarah needs to wear her boot more often, especially while she’s at home. Up until 4 weeks ago Sarah was spending much less time at home, and was wearing her boot much more often.			HighlightData	
p2sbv2	570	3		During this period Sarah’s foot ulcer seemed to be improving --- the temperature difference with her healthy foot dropped by {{degrees}} degrees. If Sarah starts to wear her boot more often we can expect to see an improvement again.			HighlightData	
p2sbv2	580	3		The foot clinic team will discuss Sarah’s progress with her in more detail the next time she goes to see them. Until then, she should try to wear her boot all the time, even when she’s at home.	END;0			
p2sbv2	590	3	If I think it’s been getting worse, then	If you look at the temperature difference between Sarah’s ulcer and her healthy foot then you can see that it's increased by {{degrees}} degrees over the past 4 weeks. This suggests that Sarah’s foot ulcer has been getting worse.			HighlightData	
p2sbv2	600	3		Sarah needs to wear her boot more often, especially while she’s at home. Up until 4 weeks ago Sarah was spending much less time at home, and was wearing her boot much more often.			HighlightData	
p2sbv2	610	3		During this period Sarah’s foot ulcer seemed to be improving --- the temperature difference with her healthy foot dropped by {{degrees}} degrees. If Sarah starts to wear her boot more often we can expect to see an improvement again.			HighlightData	
p2sbv2	620	3		The foot clinic team will discuss Sarah’s progress with her in more detail the next time she goes to see them. Until then, she should try to wear her boot all the time, even when she’s at home.	END;0			